value,language,step
822360,Python,1
811719,Java,2
759711,JavaScript,3
714714,C++,4
166521,C#,5
147227,MATLAB,6
145472,R,7
64209,PHP,8
31950,Ruby,9
18971,Swift,10
10996,Kotlin,11
10508,Objective-C,12
3987,Fortran,13
1945,Julia,14
1607,Dart,15
